Approval,Date,Value,Variable,date
Approve,09/02/2011,0.3,All Adults,09/02/2011
Disapprove,10/02/2011,0.55,All Adults,10/02/2011
Don't know,11/02/2011,0.15,All Adults,11/02/2011
Approve,12/02/2011,0.3,All Adults,12/02/2011
Disapprove,13/02/2011,0.55,All Adults,13/02/2011
Don't know,14/02/2011,0.15,All Adults,14/02/2011
Approve,15/02/2011,0.3,All Adults,15/02/2011
Disapprove,16/02/2011,0.54,All Adults,16/02/2011
Don't know,17/02/2011,0.15,All Adults,17/02/2011
Approve,18/02/2011,0.3,All Adults,18/02/2011
Disapprove,19/02/2011,0.55,All Adults,19/02/2011
Don't know,20/02/2011,0.15,All Adults,20/02/2011
Approve,21/02/2011,0.29,All Adults,21/02/2011
Disapprove,22/02/2011,0.57,All Adults,22/02/2011
Don't know,23/02/2011,0.14,All Adults,23/02/2011
Approve,24/02/2011,0.29,All Adults,24/02/2011
Disapprove,25/02/2011,0.57,All Adults,25/02/2011
Don't know,26/02/2011,0.15,All Adults,26/02/2011
Approve,27/02/2011,0.31,All Adults,27/02/2011
Disapprove,28/02/2011,0.55,All Adults,28/02/2011
Don't know,01/03/2011,0.15,All Adults,01/03/2011
Approve,02/03/2011,0.32,All Adults,02/03/2011
Disapprove,03/03/2011,0.54,All Adults,03/03/2011
Don't know,04/03/2011,0.14,All Adults,04/03/2011
Approve,05/03/2011,0.31,All Adults,05/03/2011
Disapprove,06/03/2011,0.55,All Adults,06/03/2011
Don't know,07/03/2011,0.14,All Adults,07/03/2011
Approve,08/03/2011,0.31,All Adults,08/03/2011
Disapprove,09/03/2011,0.55,All Adults,09/03/2011
Don't know,10/03/2011,0.14,All Adults,10/03/2011
Approve,11/03/2011,0.3,All Adults,11/03/2011
Disapprove,12/03/2011,0.54,All Adults,12/03/2011
Don't know,13/03/2011,0.15,All Adults,13/03/2011
Approve,14/03/2011,0.32,All Adults,14/03/2011
Disapprove,15/03/2011,0.55,All Adults,15/03/2011
Don't know,16/03/2011,0.14,All Adults,16/03/2011
Approve,17/03/2011,0.32,All Adults,17/03/2011
Disapprove,18/03/2011,0.53,All Adults,18/03/2011
Don't know,19/03/2011,0.15,All Adults,19/03/2011
Approve,20/03/2011,0.33,All Adults,20/03/2011
Disapprove,21/03/2011,0.54,All Adults,21/03/2011
Don't know,22/03/2011,0.13,All Adults,22/03/2011
Approve,23/03/2011,0.33,All Adults,23/03/2011
Disapprove,24/03/2011,0.54,All Adults,24/03/2011
Don't know,25/03/2011,0.13,All Adults,25/03/2011
Approve,26/03/2011,0.32,All Adults,26/03/2011
Disapprove,27/03/2011,0.54,All Adults,27/03/2011
Don't know,28/03/2011,0.15,All Adults,28/03/2011
