Year,North East,North West,Yorkshire,East Midlands,West Midlands,East of England,London,South East,South West,Northern Ireland,Scotland,Wales
1997,9101,9602,9475,9664,9675,11160,12902,12682,10907,8558,9581,9256
1998,9146,9748,9725,9845,9971,11339,13333,12908,11124,8585,9794,9293
1999,9487,10254,10192,10278,10344,11815,14170,13337,11518,8911,10155,9714
2000,9976,10699,10617,10660,10798,12432,15204,14032,11948,9371,10747,10266
2001,10435,11079,10970,11103,11215,12996,15761,14496,12409,9626,11281,10689
2002,10617,11371,11249,11371,11472,13327,15979,14836,12587,10157,11682,10985
2003,10952,11761,11611,11849,11775,13603,16678,15057,12928,10638,12082,11397
2004,11453,12200,11988,12294,12177,14023,17579,15629,13385,11229,12660,11852
2005,11679,12583,12285,12626,12376,14529,18602,16188,13890,11802,13085,12145
2006,12101,12997,12710,13034,12835,14973,19535,16920,14601,12389,13702,12527
2007,12419,13520,13236,13793,13191,15612,20959,17739,15128,12650,14419,12899
2008,12693,13733,13393,13945,13527,16112,21572,18086,15594,12852,15009,13413
2009,13258,14233,13754,14166,13846,16527,21477,18445,15679,13014,15194,13423
2010,13508,14383,13844,14226,14019,16684,21651,18520,16079,13232,15435,13660
2011,13659,14516,14075,14508,14200,16807,21474,18703,16330,13528,15735,13887
2012,14197,14948,14453,14971,14553,17396,22775,19333,16663,13737,16183,14279
2013,14537,15439,14887,15463,15080,18067,24052,20164,17313,14330,16776,14572
2014,14898,15835,15284,15918,15603,18607,24979,20641,17874,14766,17149,14977
2015,15442,16589,15991,16717,16423,19697,26761,21909,18711,15285,17681,15461
2016,15606,16692,16058,16724,16688,20021,27146,22202,18905,15509,17770,15533
2017,15933,17164,16517,17187,16912,20595,27572,22750,19343,16012,18110,16018
2018,16346,17746,17134,17729,17476,21392,29015,23558,20101,16427,18628,16624
2019,16866,18371,17673,18345,17966,22062,29809,24335,20920,17045,19291,17037
2020,16935,18418,17669,18394,17929,21711,29202,23911,20579,16965,19173,17200
2021,17663,18864,18363,18956,18566,22337,31094,24623,21221,17636,19630,18038
