country,GDP per Capita
Afghanistan,697
Angola,578
Albania,625
Andorra,3660
UAE,2290
Argentina,5250
Armenia,1590
Antigua and Barbuda,1490
Australia,7320
Austria,5260
Azerbaijan,1420
Burundi,583
Belgium,6810
Benin,1230
Burkina Faso,764
Bangladesh,876
Bulgaria,1830
Bahrain,1850
Bahamas,2840
Bosnia and Herzegovina,1580
Belarus,1850
Belize,1140
Bolivia,1670
Brazil,1000
Barbados,2250
Brunei,2280
Bhutan,846
Botswana,482
Central African Republic,722
Canada,5310
Switzerland,7570
Chile,3880
China,1110
Cote d'Ivoire,671
Cameroon,764
"Congo, Dem. Rep.",485
"Congo, Rep.",763
Colombia,1250
Comoros,655
Cape Verde,729
Costa Rica,2240
Cuba,1940
Cyprus,2080
Czech Republic,3380
Germany,5450
Djibouti,1280
Dominica,854
Denmark,5500
Dominican Republic,810
Algeria,1830
Ecuador,1260
Egypt,1730
Eritrea,749
Spain,3060
Estonia,2930
Ethiopia,738
Finland,3040
Fiji,1180
France,5250
"Micronesia, Fed. Sts.",631
Gabon,763
United Kingdom,8690
Georgia,1440
Ghana,829
Guinea,489
Gambia,845
Guinea-Bissau,526
Equatorial Guinea,518
Greece,2260
Grenada,1550
Guatemala,1970
Guyana,2390
"Hong Kong, China",2230
Honduras,1820
Croatia,2360
Haiti,1320
Hungary,3070
Indonesia,1320
India,1090
Ireland,4380
Iran,1340
Iraq,1340
Iceland,2620
Israel,1290
Italy,3740
Jamaica,1060
Jordan,1640
Japan,2430
Kazakhstan,2540
Kenya,737
Kyrgyz Republic,1320
Cambodia,808
Kiribati,689
St. Kitts and Nevis,2290
South Korea,1170
Kuwait,2520
Lao,1030
Lebanon,2330
Liberia,1540
Libya,1450
St. Lucia,843
Sri Lanka,2350
Lesotho,571
Lithuania,2980
Luxembourg,4660
Latvia,2100
Morocco,1210
Monaco,5800
Moldova,1660
Madagascar,763
Maldives,959
Mexico,2090
Marshall Islands,656
North Macedonia,1500
Mali,776
Malta,1850
Myanmar,1260
Montenegro,1410
Mongolia,492
Mozambique,468
Mauritania,578
Mauritius,1950
Malawi,486
Malaysia,936
Namibia,1990
Niger,775
Nigeria,1050
Nicaragua,1910
Netherlands,6070
Norway,3720
Nepal,908
Nauru,935
New Zealand,7840
Oman,471
Pakistan,1160
Panama,2330
Peru,1240
Philippines,1220
Palau,1260
Papua New Guinea,823
Poland,3090
North Korea,1120
Portugal,2380
Paraguay,2440
Palestine,1980
Qatar,2520
Romania,1610
Russia,2620
Rwanda,797
Saudi Arabia,1050
Sudan,677
Senegal,911
Singapore,2530
Solomon Islands,552
Sierra Leone,1220
El Salvador,1580
San Marino,2540
Somalia,873
Serbia,2400
South Sudan,698
Sao Tome and Principe,1070
Suriname,3220
Slovak Republic,2960
Slovenia,3700
Sweden,3800
Eswatini,624
Seychelles,1160
Syria,2110
Chad,577
Togo,962
Thailand,1480
Tajikistan,1400
Turkmenistan,1910
Timor-Leste,727
Tonga,998
Trinidad and Tobago,2670
Tunisia,1460
Turkey,1570
Tuvalu,1080
Taiwan,1230
Tanzania,607
Uganda,894
Ukraine,1680
Uruguay,3880
USA,9200
Uzbekistan,1110
St. Vincent and the Grenadines,1650
Venezuela,2110
Vietnam,1190
Vanuatu,881
Samoa,2110
Yemen,1340
South Africa,1710
Zambia,679
Zimbabwe,1040
