year_month,,Hotel
2005-02,,49.950001
2005-03,,49
2005-04,,48.875
2005-05,,47
2005-06,,49.7250005
2005-07,,49.950001
2005-08,,49.5
2005-09,,49.5
2005-10,,50
2005-11,,49.25
2005-12,,49
2006-01,,49.950001
2006-02,,55.900002
2006-03,,50.5
2006-04,,57.950001
2006-05,,57.375
2006-06,,58.5
2006-08,,55
2006-09,,55
2006-10,,55
2006-11,,55
2006-12,,55
2007-01,,55
2007-02,,55
2007-03,,55
2007-04,,55
2007-05,,55
2007-06,,55
2007-07,,57
2007-08,,57
2007-09,,59.25
2007-10,,57
2007-11,,59
2007-12,,56
2008-01,,56
2008-02,,58
2008-03,,57
2008-04,,60
2008-05,,60
2008-06,,60
2008-07,,60
2008-08,,60
2008-09,,60
2008-10,,61.200001
2008-11,,60
2008-12,,60
2009-01,,60
2009-02,,60
2009-03,,60
2009-04,,60
2009-05,,60
2009-06,,60
2009-07,,60
2009-08,,60
2009-09,,60
2009-10,,62.125
2009-11,,60
2009-12,,61.125
2010-01,,60
2010-02,,64.949989
2010-03,,60
2010-04,,60
2010-05,,65
2010-06,,65
2010-07,,65
2010-08,,65
2010-09,,65
2010-10,,64.125
2010-11,,60.7250005
2010-12,,61.674999
2011-01,,64.5
2011-02,,65
2011-03,,65
2011-04,,65
2011-05,,65
2011-06,,65
2011-07,,65
2011-08,,66.5
2011-09,,66.989998
2011-10,,65
2011-11,,64.994995
2011-12,,65
2012-01,,65
2012-02,,65
2012-03,,65
2012-04,,65
2012-05,,65
2012-06,,65
2012-07,,65
2012-08,,65
2012-09,,67.5
2012-10,,67.5
2012-11,,69
2012-12,,69
2013-01,,65
2013-02,,65
2013-03,,65
2013-04,,65
2013-05,,65
2013-06,,65
2013-07,,69
2013-08,,69
2013-09,,69
2013-10,,70
2013-11,,70
2013-12,,70
2014-01,,65.5
2014-02,,69
2014-03,,70
2014-04,,70
2014-05,,75
2014-06,,72.875
2014-07,,75
2014-08,,75
2014-09,,78.875
2014-10,,77.75
2014-11,,75
2014-12,,75
2015-01,,75
2015-02,,75
2015-03,,75
2015-04,,75
2015-05,,75
2015-06,,80
2015-07,,75
2015-08,,75
2015-09,,74.375
2015-10,,75.9749985
2015-11,,75
2015-12,,70
2016-01,,70
2016-02,,70
2016-03,,72.5
2016-04,,75.994999
2016-05,,77.994999
2016-06,,78.989998
2016-07,,80
2016-08,,79.75
2016-09,,74.25
2016-10,,75
2016-11,,75
2016-12,,79.5
2017-01,,70
2017-02,,77.494999
2017-03,,80
2017-04,,75
2017-05,,77
2017-06,,84.494999
2017-07,,82.5
2017-08,,81.0249975
2017-09,,80
2017-10,,80
2017-11,,88
2017-12,,82.5
2018-01,,82
2018-02,,79
2018-03,,80.244999
2018-04,,78.25
2018-05,,80.5
2018-06,,85
2018-07,,87.489998
2018-08,,83.25
2018-09,,83.5
2018-10,,78
2018-11,,78
2018-12,,78
2019-01,,75
2019-02,,74.5
2019-03,,75
2019-04,,81.125
2019-05,,75.5
2019-06,,85
2019-07,,85
2019-08,,86.5
2019-09,,84
2019-10,,80
2019-11,,71.75
2019-12,,75.650002
2020-01,,72.5
2020-02,,75
2020-03,,79.9000015
2020-07,,74.25
2020-08,,74.5
2020-09,,75
2020-10,,70.1500015
2020-12,,65
2021-07,,79.5
2021-08,,95
2021-09,,89.5
2021-10,,89.8499985
2021-11,,85.494999
2021-12,,89
2022-01,,83
2022-02,,96.5
2022-03,,93.9900015
2022-04,,99.375
2022-05,,97.989998
2022-06,,100
2022-07,,100.75
2022-08,,105
2022-09,,100.95
2022-10,,110
2022-11,,106.5
2022-12,,105
2023-01,,95
2023-02,,110.99
2023-03,,104.5
2023-04,,101.245
2023-05,,107
2023-06,,110.44
2023-07,,119.75
2023-08,,112.5
2023-09,,117.9
2023-10,,114.75
2023-11,,110.49
2023-12,,120
2024-01,,105.745
2024-02,,117.99
2024-03,,119
2024-04,,114
2024-05,,108.625
2024-06,,140.495005
2024-07,,130.405
2024-08,,122.5
2024-09,,134.85001
