Approval,Date,Value,Variable
Approve,09/02/2011,0.3,All Adults
Disapprove,09/02/2011,0.55,All Adults
Don't know,09/02/2011,0.15,All Adults
Approve,16/02/2011,0.3,All Adults
Disapprove,16/02/2011,0.55,All Adults
Don't know,16/02/2011,0.15,All Adults
Approve,23/02/2011,0.3,All Adults
Disapprove,23/02/2011,0.54,All Adults
Don't know,23/02/2011,0.15,All Adults
Approve,02/03/2011,0.3,All Adults
Disapprove,02/03/2011,0.55,All Adults
Don't know,02/03/2011,0.15,All Adults
Approve,09/03/2011,0.29,All Adults
Disapprove,09/03/2011,0.57,All Adults
Don't know,09/03/2011,0.14,All Adults
Approve,16/03/2011,0.29,All Adults
Disapprove,16/03/2011,0.57,All Adults
Don't know,16/03/2011,0.15,All Adults
Approve,23/03/2011,0.31,All Adults
Disapprove,23/03/2011,0.55,All Adults
Don't know,23/03/2011,0.15,All Adults
Approve,30/03/2011,0.32,All Adults
Disapprove,30/03/2011,0.54,All Adults
Don't know,30/03/2011,0.14,All Adults
Approve,06/04/2011,0.31,All Adults
Disapprove,06/04/2011,0.55,All Adults
Don't know,06/04/2011,0.14,All Adults
Approve,13/04/2011,0.31,All Adults
Disapprove,13/04/2011,0.55,All Adults
Don't know,13/04/2011,0.14,All Adults
Approve,20/04/2011,0.3,All Adults
Disapprove,20/04/2011,0.54,All Adults
Don't know,20/04/2011,0.15,All Adults
Approve,27/04/2011,0.32,All Adults
Disapprove,27/04/2011,0.55,All Adults
Don't know,27/04/2011,0.14,All Adults
Approve,03/05/2011,0.32,All Adults
Disapprove,03/05/2011,0.53,All Adults
Don't know,03/05/2011,0.15,All Adults
Approve,11/05/2011,0.33,All Adults
Disapprove,11/05/2011,0.54,All Adults
Don't know,11/05/2011,0.13,All Adults
Approve,18/05/2011,0.33,All Adults
Disapprove,18/05/2011,0.54,All Adults
Don't know,18/05/2011,0.13,All Adults
Approve,25/05/2011,0.32,All Adults
Disapprove,25/05/2011,0.54,All Adults
Don't know,25/05/2011,0.15,All Adults
Approve,01/06/2011,0.33,All Adults
Disapprove,01/06/2011,0.53,All Adults
Don't know,01/06/2011,0.15,All Adults
Approve,08/06/2011,0.31,All Adults
