Country,GDP per Capita
Afghanistan,1330
Angola,5750
Albania,16.8k
Andorra,55.2k
UAE,78.6k
Argentina,21k
Armenia,18.5k
Antigua and Barbuda,23.4k
Australia,51.8k
Austria,55.2k
Azerbaijan,15.6k
Burundi,717
Belgium,53.4k
Benin,3670
Burkina Faso,2230
Bangladesh,6960
Bulgaria,28.5k
Bahrain,53.2k
Bahamas,34.2k
Bosnia and Herzegovina,17.6k
Belarus,19.6k
Belize,9830
Bolivia,8360
Brazil,15.7k
Barbados,16.8k
Brunei,60.4k
Bhutan,12.8k
Botswana,15.9k
Central African Republic,820
Canada,47.7k
Switzerland,71.6k
Chile,26.2k
China,20.1k
Cote d'Ivoire,5930
Cameroon,3850
"Congo, Dem. Rep.",1210
"Congo, Rep.",3250
Colombia,15.7k
Comoros,3270
Cape Verde,8280
Costa Rica,23.7k
Cuba,8930
Cyprus,44.7k
Czech Republic,40.1k
Germany,53.2k
Djibouti,5560
Dominica,12.4k
Denmark,60.8k
Dominican Republic,20.5k
Algeria,11.6k
Ecuador,11.2k
Egypt,13.2k
Eritrea,2090
Spain,40.6k
Estonia,36.2k
Ethiopia,2590
Finland,48.5k
Fiji,13.6k
France,46.4k
"Micronesia, Fed. Sts.",3290
Gabon,14.1k
UK,46k
Georgia,19.3k
Ghana,5600
Guinea,2870
Gambia,2250
Guinea-Bissau,1960
Equatorial Guinea,13.3k
Greece,33.1k
Grenada,15.8k
Guatemala,9490
Guyana,57k
"Hong Kong, China",60k
Honduras,5940
Croatia,36.4k
Haiti,2600
Hungary,36.1k
Indonesia,13.5k
India,8010
Ireland,104k
Iran,16.5k
Iraq,8680
Iceland,56.9k
Israel,44.3k
Italy,44.8k
Jamaica,10.5k
Jordan,9720
Japan,43.2k
Kazakhstan,27.9k
Kenya,5210
Kyrgyz Republic,5570
Cambodia,4960
Kiribati,2190
St. Kitts and Nevis,31.6k
South Korea,47.2k
Kuwait,45.1k
Lao,8340
Lebanon,13.5k
Liberia,1540
Libya,21.1k
St. Lucia,16.1k
Sri Lanka,12.6k
Lesotho,2320
Lithuania,40.4k
Luxembourg,110k
Latvia,33.6k
Morocco,8430
Monaco,222k
Moldova,12.8k
Madagascar,1550
Maldives,23k
Mexico,20.5k
Marshall Islands,6250
North Macedonia,18.2k
Mali,2190
Malta,51k
Myanmar,4220
Montenegro,24.3k
Mongolia,13.4k
Mozambique,1300
Mauritania,5690
Mauritius,25.6k
Malawi,1460
Malaysia,29.9k
Namibia,9900
Niger,1340
Nigeria,5030
Nicaragua,6150
Netherlands,58k
Norway,67.5k
Nepal,4090
Nauru,11k
New Zealand,44.5k
Oman,34.6k
Pakistan,5270
Panama,35.7k
Peru,12.8k
Philippines,9370
Palau,15.5k
Papua New Guinea,3910
Poland,39.2k
North Korea,1810
Portugal,36.8k
Paraguay,14.4k
Palestine,5370
Qatar,89.7k
Romania,34.1k
Russia,28.2k
Rwanda,2610
Saudi Arabia,48.6k
Sudan,2860
Senegal,3780
Singapore,106k
Solomon Islands,2410
Sierra Leone,1690
El Salvador,9960
San Marino,69.5k
Somalia,1140
Serbia,22.4k
South Sudan,363
Sao Tome and Principe,3910
Suriname,15.4k
Slovak Republic,34.5k
Slovenia,42.2k
Sweden,54.1k
Eswatini,9430
Seychelles,27.8k
Syria,3170
Chad,1430
Togo,2360
Thailand,18.2k
Tajikistan,4600
Turkmenistan,15.8k
Timor-Leste,3020
Tonga,5960
Trinidad and Tobago,24.2k
Tunisia,10.7k
Turkey,34.9k
Tuvalu,4880
Taiwan,61.4k
Tanzania,2750
Uganda,2390
Ukraine,10.7k
Uruguay,25.3k
USA,67.3k
Uzbekistan,8640
St. Vincent and the Grenadines,16.6k
Venezuela,6960
Vietnam,12.5k
Vanuatu,2770
Samoa,5700
Yemen,1650
South Africa,13.3k
Zambia,3480
Zimbabwe,2300
