country,2024,GDP per Capita
Afghanistan,1330,1330.0
Angola,5750,5750.0
Albania,16.8k,16800.0
Andorra,55.2k,55200.0
UAE,78.6k,78600.0
Argentina,21k,21000.0
Armenia,18.5k,18500.0
Antigua and Barbuda,23.4k,23400.0
Australia,51.8k,51800.0
Austria,55.2k,55200.0
Azerbaijan,15.6k,15600.0
Burundi,717,717.0
Belgium,53.4k,53400.0
Benin,3670,3670.0
Burkina Faso,2230,2230.0
Bangladesh,6960,6960.0
Bulgaria,28.5k,28500.0
Bahrain,53.2k,53200.0
Bahamas,34.2k,34200.0
Bosnia and Herzegovina,17.6k,17600.0
Belarus,19.6k,19600.0
Belize,9830,9830.0
Bolivia,8360,8360.0
Brazil,15.7k,15700.0
Barbados,16.8k,16800.0
Brunei,60.4k,60400.0
Bhutan,12.8k,12800.0
Botswana,15.9k,15900.0
Central African Republic,820,820.0
Canada,47.7k,47700.0
Switzerland,71.6k,71600.0
Chile,26.2k,26200.0
China,20.1k,20100.0
Cote d'Ivoire,5930,5930.0
Cameroon,3850,3850.0
"Congo, Dem. Rep.",1210,1210.0
"Congo, Rep.",3250,3250.0
Colombia,15.7k,15700.0
Comoros,3270,3270.0
Cape Verde,8280,8280.0
Costa Rica,23.7k,23700.0
Cuba,8930,8930.0
Cyprus,44.7k,44700.0
Czech Republic,40.1k,40100.0
Germany,53.2k,53200.0
Djibouti,5560,5560.0
Dominica,12.4k,12400.0
Denmark,60.8k,60800.0
Dominican Republic,20.5k,20500.0
Algeria,11.6k,11600.0
Ecuador,11.2k,11200.0
Egypt,13.2k,13200.0
Eritrea,2090,2090.0
Spain,40.6k,40600.0
Estonia,36.2k,36200.0
Ethiopia,2590,2590.0
Finland,48.5k,48500.0
Fiji,13.6k,13600.0
France,46.4k,46400.0
"Micronesia, Fed. Sts.",3290,3290.0
Gabon,14.1k,14100.0
UK,46k,46000.0
Georgia,19.3k,19300.0
Ghana,5600,5600.0
Guinea,2870,2870.0
Gambia,2250,2250.0
Guinea-Bissau,1960,1960.0
Equatorial Guinea,13.3k,13300.0
Greece,33.1k,33100.0
Grenada,15.8k,15800.0
Guatemala,9490,9490.0
Guyana,57k,57000.0
"Hong Kong, China",60k,60000.0
Honduras,5940,5940.0
Croatia,36.4k,36400.0
Haiti,2600,2600.0
Hungary,36.1k,36100.0
Indonesia,13.5k,13500.0
India,8010,8010.0
Ireland,104k,104000.0
Iran,16.5k,16500.0
Iraq,8680,8680.0
Iceland,56.9k,56900.0
Israel,44.3k,44300.0
Italy,44.8k,44800.0
Jamaica,10.5k,10500.0
Jordan,9720,9720.0
Japan,43.2k,43200.0
Kazakhstan,27.9k,27900.0
Kenya,5210,5210.0
Kyrgyz Republic,5570,5570.0
Cambodia,4960,4960.0
Kiribati,2190,2190.0
St. Kitts and Nevis,31.6k,31600.0
South Korea,47.2k,47200.0
Kuwait,45.1k,45100.0
Lao,8340,8340.0
Lebanon,13.5k,13500.0
Liberia,1540,1540.0
Libya,21.1k,21100.0
St. Lucia,16.1k,16100.000000000002
Sri Lanka,12.6k,12600.0
Lesotho,2320,2320.0
Lithuania,40.4k,40400.0
Luxembourg,110k,110000.0
Latvia,33.6k,33600.0
Morocco,8430,8430.0
Monaco,222k,222000.0
Moldova,12.8k,12800.0
Madagascar,1550,1550.0
Maldives,23k,23000.0
Mexico,20.5k,20500.0
Marshall Islands,6250,6250.0
North Macedonia,18.2k,18200.0
Mali,2190,2190.0
Malta,51k,51000.0
Myanmar,4220,4220.0
Montenegro,24.3k,24300.0
Mongolia,13.4k,13400.0
Mozambique,1300,1300.0
Mauritania,5690,5690.0
Mauritius,25.6k,25600.0
Malawi,1460,1460.0
Malaysia,29.9k,29900.0
Namibia,9900,9900.0
Niger,1340,1340.0
Nigeria,5030,5030.0
Nicaragua,6150,6150.0
