Gross disposable household income,,,,,,,,,,,,,,,,,,,,,,,,,,
Average income per person after taxes and direct benefits,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data download generated by ONS Explore Local Statistics on 8 Oct 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
https://explore-local-statistics.beta.ons.gov.uk/indicators/gross-disposable-household-income-per-head,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,North East,9101,9146,9487,9976,10435,10617,10952,11453,11679,12101,12419,12693,13258,13508,13659,14197,14537,14898,15442,15606,15933,16346,16866,16935,17663
,North West,9602,9748,10254,10699,11079,11371,11761,12200,12583,12997,13520,13733,14233,14383,14516,14948,15439,15835,16589,16692,17164,17746,18371,18418,18864
,Yorkshire and The Humber,9475,9725,10192,10617,10970,11249,11611,11988,12285,12710,13236,13393,13754,13844,14075,14453,14887,15284,15991,16058,16517,17134,17673,17669,18363
,East Midlands,9664,9845,10278,10660,11103,11371,11849,12294,12626,13034,13793,13945,14166,14226,14508,14971,15463,15918,16717,16724,17187,17729,18345,18394,18956
,West Midlands,9675,9971,10344,10798,11215,11472,11775,12177,12376,12835,13191,13527,13846,14019,14200,14553,15080,15603,16423,16688,16912,17476,17966,17929,18566
,East of England,11160,11339,11815,12432,12996,13327,13603,14023,14529,14973,15612,16112,16527,16684,16807,17396,18067,18607,19697,20021,20595,21392,22062,21711,22337
,London,12902,13333,14170,15204,15761,15979,16678,17579,18602,19535,20959,21572,21477,21651,21474,22775,24052,24979,26761,27146,27572,29015,29809,29202,31094
,South East,12682,12908,13337,14032,14496,14836,15057,15629,16188,16920,17739,18086,18445,18520,18703,19333,20164,20641,21909,22202,22750,23558,24335,23911,24623
,South West,10907,11124,11518,11948,12409,12587,12928,13385,13890,14601,15128,15594,15679,16079,16330,16663,17313,17874,18711,18905,19343,20101,20920,20579,21221
,Northern Ireland,8558,8585,8911,9371,9626,10157,10638,11229,11802,12389,12650,12852,13014,13232,13528,13737,14330,14766,15285,15509,16012,16427,17045,16965,17636
,Scotland,9581,9794,10155,10747,11281,11682,12082,12660,13085,13702,14419,15009,15194,15435,15735,16183,16776,17149,17681,17770,18110,18628,19291,19173,19630
,Wales,9256,9293,9714,10266,10689,10985,11397,11852,12145,12527,12899,13413,13423,13660,13887,14279,14572,14977,15461,15533,16018,16624,17037,17200,18038
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,North East,North West,Yorkshire,East Midlands,West Midlands,East of England,London,South East,South West,Northern Ireland,,Wales,,,,,,,,,,,,,
,1997,9101,9602,9475,9664,9675,11160,12902,12682,10907,8558,9581,9256,,,,,,,,,,,,,
,1998,9146,9748,9725,9845,9971,11339,13333,12908,11124,8585,9794,9293,,,,,,,,,,,,,
,1999,9487,10254,10192,10278,10344,11815,14170,13337,11518,8911,10155,9714,,,,,,,,,,,,,
,2000,9976,10699,10617,10660,10798,12432,15204,14032,11948,9371,10747,10266,,,,,,,,,,,,,
,2001,10435,11079,10970,11103,11215,12996,15761,14496,12409,9626,11281,10689,,,,,,,,,,,,,
,2002,10617,11371,11249,11371,11472,13327,15979,14836,12587,10157,11682,10985,,,,,,,,,,,,,
,2003,10952,11761,11611,11849,11775,13603,16678,15057,12928,10638,12082,11397,,,,,,,,,,,,,
,2004,11453,12200,11988,12294,12177,14023,17579,15629,13385,11229,12660,11852,,,,,,,,,,,,,
,2005,11679,12583,12285,12626,12376,14529,18602,16188,13890,11802,13085,12145,,,,,,,,,,,,,
,2006,12101,12997,12710,13034,12835,14973,19535,16920,14601,12389,13702,12527,,,,,,,,,,,,,
,2007,12419,13520,13236,13793,13191,15612,20959,17739,15128,12650,14419,12899,,,,,,,,,,,,,
,2008,12693,13733,13393,13945,13527,16112,21572,18086,15594,12852,15009,13413,,,,,,,,,,,,,
,2009,13258,14233,13754,14166,13846,16527,21477,18445,15679,13014,15194,13423,,,,,,,,,,,,,
,2010,13508,14383,13844,14226,14019,16684,21651,18520,16079,13232,15435,13660,,,,,,,,,,,,,
,2011,13659,14516,14075,14508,14200,16807,21474,18703,16330,13528,15735,13887,,,,,,,,,,,,,
,2012,14197,14948,14453,14971,14553,17396,22775,19333,16663,13737,16183,14279,,,,,,,,,,,,,
,2013,14537,15439,14887,15463,15080,18067,24052,20164,17313,14330,16776,14572,,,,,,,,,,,,,
,2014,14898,15835,15284,15918,15603,18607,24979,20641,17874,14766,17149,14977,,,,,,,,,,,,,
,2015,15442,16589,15991,16717,16423,19697,26761,21909,18711,15285,17681,15461,,,,,,,,,,,,,
,2016,15606,16692,16058,16724,16688,20021,27146,22202,18905,15509,17770,15533,,,,,,,,,,,,,
,2017,15933,17164,16517,17187,16912,20595,27572,22750,19343,16012,18110,16018,,,,,,,,,,,,,
,2018,16346,17746,17134,17729,17476,21392,29015,23558,20101,16427,18628,16624,,,,,,,,,,,,,
,2019,16866,18371,17673,18345,17966,22062,29809,24335,20920,17045,19291,17037,,,,,,,,,,,,,
,2020,16935,18418,17669,18394,17929,21711,29202,23911,20579,16965,19173,17200,,,,,,,,,,,,,
,2021,17663,18864,18363,18956,18566,22337,31094,24623,21221,17636,19630,18038,,,,,,,,,,,,,
