Gross disposable household income,,,,,,,,,,,,,,,,,,,,,,,,,,
Average income per person after taxes and direct benefits,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data download generated by ONS Explore Local Statistics on 8 Oct 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
https://explore-local-statistics.beta.ons.gov.uk/indicators/gross-disposable-household-income-per-head,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,North East,9101,9146,9487,9976,10435,10617,10952,11453,11679,12101,12419,12693,13258,13508,13659,14197,14537,14898,15442,15606,15933,16346,16866,16935,17663
,North West,9602,9748,10254,10699,11079,11371,11761,12200,12583,12997,13520,13733,14233,14383,14516,14948,15439,15835,16589,16692,17164,17746,18371,18418,18864
,Yorkshire and The Humber,9475,9725,10192,10617,10970,11249,11611,11988,12285,12710,13236,13393,13754,13844,14075,14453,14887,15284,15991,16058,16517,17134,17673,17669,18363
,East Midlands,9664,9845,10278,10660,11103,11371,11849,12294,12626,13034,13793,13945,14166,14226,14508,14971,15463,15918,16717,16724,17187,17729,18345,18394,18956
,West Midlands,9675,9971,10344,10798,11215,11472,11775,12177,12376,12835,13191,13527,13846,14019,14200,14553,15080,15603,16423,16688,16912,17476,17966,17929,18566
,East of England,11160,11339,11815,12432,12996,13327,13603,14023,14529,14973,15612,16112,16527,16684,16807,17396,18067,18607,19697,20021,20595,21392,22062,21711,22337
,London,12902,13333,14170,15204,15761,15979,16678,17579,18602,19535,20959,21572,21477,21651,21474,22775,24052,24979,26761,27146,27572,29015,29809,29202,31094
,South East,12682,12908,13337,14032,14496,14836,15057,15629,16188,16920,17739,18086,18445,18520,18703,19333,20164,20641,21909,22202,22750,23558,24335,23911,24623
,South West,10907,11124,11518,11948,12409,12587,12928,13385,13890,14601,15128,15594,15679,16079,16330,16663,17313,17874,18711,18905,19343,20101,20920,20579,21221
,Northern Ireland,8558,8585,8911,9371,9626,10157,10638,11229,11802,12389,12650,12852,13014,13232,13528,13737,14330,14766,15285,15509,16012,16427,17045,16965,17636
,Scotland,9581,9794,10155,10747,11281,11682,12082,12660,13085,13702,14419,15009,15194,15435,15735,16183,16776,17149,17681,17770,18110,18628,19291,19173,19630
,Wales,9256,9293,9714,10266,10689,10985,11397,11852,12145,12527,12899,13413,13423,13660,13887,14279,14572,14977,15461,15533,16018,16624,17037,17200,18038
